Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2021-09-06,3346.2265625,3368.4653285384056,3313.216020086968,3344.228513568609,1723693
2021-09-07,3314.866455078125,3361.8196504818197,3308.220996519753,3356.6509369270207,1585039
2021-09-08,3278.598388671875,3314.084807552508,3262.831595587738,3309.7413150131206,4147175
2021-09-09,3293.583251953125,3308.6117777077047,3270.649697473994,3292.1065069900405,1441148
2021-09-13,3340.44970703125,3346.573861504816,3272.3870978760497,3272.3870978760497,1691473
2021-09-14,3375.67578125,3384.8840711793177,3322.7721217145872,3344.446109215776,1991188
2021-09-15,3435.311767578125,3457.4201024494814,3358.388471374295,3372.3746023512094,2461369
2021-09-16,3390.79052734375,3458.93987481296,3381.0611476226836,3413.9847323450576,2946666
2021-09-17,3325.247802734375,3427.0157522153695,3305.3979561925175,3405.2982886398604,6477148
2021-09-20,3321.468994140625,3362.7321763615428,3307.8739463058937,3308.8728648310816,2002008
2021-09-21,3355.7392578125,3363.2101507028788,3319.8619627520065,3351.4392421038633,1568129
2021-09-22,3355.04443359375,3385.1884466620077,3346.618099037036,3355.3485629575803,1744067
2021-09-23,3361.2119140625,3369.6817250496706,3331.458988287055,3361.86343798459,2003869
2021-09-24,3362.992431640625,3426.494162590542,3348.83260415297,3379.2370506238785,2320754
2021-09-27,3333.152099609375,3391.3983665334767,3303.5728783040245,3387.9235731251433,1673362
2021-09-28,3282.94140625,3344.4887714625593,3258.7048062205004,3344.4887714625593,2253075
2021-09-29,3294.017822265625,3306.2665561909757,3233.4261006959136,3266.13272711656,2489161
2021-09-30,3279.814453125,3305.397579887502,3257.7061201389893,3305.397579887502,2252412
2021-10-01,3240.419189453125,3309.7413740348698,3235.9019995485273,3285.200640749703,1578374
2021-10-04,3277.860595703125,3286.851499307704,3220.6567058620135,3235.7287119847933,1356860
2021-10-05,3329.982421875,3335.8026601411348,3250.3228018088666,3261.0945797317236,1877966
2021-10-06,3310.522705078125,3350.9606587155918,3296.7104851126683,3332.3271201296957,1678154
2021-10-07,3381.7568359375,3387.055982452028,3318.4722675428216,3327.115776555852,1647233
2021-10-08,3418.893310546875,3466.0202061548184,3387.924292552639,3409.641755966438,2934339
2021-10-11,3201.675537109375,3264.1348795108815,3179.4367688648904,3261.963133084061,11845402
2021-10-12,3173.225341796875,3220.265279866949,3153.896800529802,3219.3965813830355,5752877
2021-10-13,3175.266845703125,3192.857991053429,3166.4061630547076,3170.749655733795,3545655
2021-10-14,3143.281005859375,3194.2409413041028,3140.4523183772935,3155.0744992445157,6442299
2021-10-18,3174.352783203125,3179.1833532142864,3134.577130685672,3136.3178613209348,3590107
2021-10-19,3163.038330078125,3211.7354441500183,3155.248602254649,3193.370649232762,3135441
2021-10-20,3141.018310546875,3159.426454063598,3114.4286046403977,3143.7598766054316,2933693
2021-10-21,3074.565673828125,3139.7995159026163,3056.0704096897393,3136.883919403963,4871211
2021-10-22,3045.278076171875,3099.8935052260636,3033.223430340186,3098.5008355842356,2691670
2021-10-25,3040.142333984375,3058.942308854021,3002.7601880545794,3048.889547465273,2595594
2021-10-26,3031.1337890625,3071.518647461256,3024.518928854595,3041.4910494625556,3878763
